Date,Time,Activity
February 25,8:00 AM,Registration
,9:00 AM,Preliminaries
,9:05 AM,(Video) CHED RAISE 2026: Responding through AI for Societal Empowerment
,9:18 AM,"Welcome Remarks from Host Institution
Dr. Bobby Gerardo"
,9:24 AM,"Fireside Chat Introduction, National AI Upskilling Roadmap
Sherwin Pelayo, AAP | PCORP"
,9:29 AM,"Fireside Chat Proper, ""AI in Basic Education, Higher Education, Lifelong Learning: Government and Private Sector Partnership""
Chair Shirley Agrupis, CHED
Sec. Juan Edgardo ""Sonny"" Angara, DepEd
Dir. Gen. Jose Francisco ""Kiko"" Benitez, TESDA
Fred Ayala, PSAC | PCORP
Michelle Alarcon, AAP

Moderator
Sherwin Pelayo, AAP | PCORP"
,10:48 AM,"Turnover of Philippine Skills Framework for Analytics & AI to CHED, DepEd, TESDA, and Host Universities"
,10:53 AM,Turnover of CHEDx 2024 Coffee Table Book
,10:59 AM,"Keynote: The National AI Strategy of the Philippines (NAIS-PH)
Sec. Renato Solidum, Jr., DOST"
,11:30 AM,Photo Opportunity
,11:36 AM,(Video) Launch of HUSAY Projects
,11:50 AM,Ribbon-Cutting of Exhibit Area
,12:00 PM,Lunch + Exhibitors' Videos
,1:30 PM,Breakout Sessions Start
,,Breakout A: President's Forum
,1:30 PM,"Crafting an AI Policy for Education
Sherwin Pelayo, AAP | PCORP"
,,Breakout B: Administrators & Teachers
,1:30 PM,"Prompting Literacy: Building the Foundation for AI-Enhanced Teaching
Batangas State University"
,3:15 PM,"Teaching Smarter with AI: Lesson Planning Made Simple
Polytechnic University of the Philippines"
,,Breakout C: Students
,1:30 PM,"Machine Learning Made Simple: From Concepts to Applications
Dr. Chris Aliac, Cebu Institute of Technology University"
,3:15 PM,"Demystifying the AI World: Core Concepts of AI, ML, DL
Dr. Ace Lagman, FEU Institute of Technology"
,4:45 PM,Breakout Sessions End
,5:00 PM,Day 1 Highlights
,5:15 PM,Day 1 Closing
,5:30 PM,Day 1 End
February 26,8:00 AM,Registration
,9:02 AM,Day 1 Recap
,9:14 AM,"Panel Discusion, AI Requirements in the Industry
Jonathan De Luzuriaga, Spring Valley Tech Corp
Arup Maity, Xamun
TBD, Iloilo Chamber of Commerce and Industry
Michelle Alarcon, AAP

Moderator
Jaime Noel Santos, Thames International Business School"
,10:30 AM,Breakout Sessions Start
,,Breakout A: Administrators
,10:30 AM,"Setting Up the Infrastructure for an AI Program
Dr. Prospero Naval, University of the Philippines"
,12:00 PM,Lunch + Exhibitors' Videos
,1:15 PM,"Designing Curricula Aligned with the Philippine Skills Framework for Analytics & AI
Oliver Malabanan, De La Salle University"
,3:00 PM,"Developing a Research Agenda in the Age of Intelligence
Dr. Jaime Caro, Techfactors, Inc."
,,Breakout B: Teachers
,10:30 AM,"Assessments in the Age of AI: Creating, Checking, and Curating with Confidence
National Teachers College"
,12:00 PM,Lunch + Exhibitors' Videos
,1:15 PM,"From Slides to Stories: Enhancing Presentations with AI Tools
Iloilo State University of Fisheries Science and Technology"
,3:00 PM,"Your AI Teaching Companion: Personal Productivity and Reflective Practice
Bulacan State University"
,,Breakout C: Students
,10:30 AM,"Automating Intelligence: The Power of RAG in Document Processing
Dr. Gregg Gabison, Raybiz Technologies, Inc."
,12:00 PM,Lunch + Exhibitors' Videos
,1:15 PM,"Think Before You Prompt: A Framework for Responsible AI-Supported Learning
Dr. Dave Marcial, Siliman University"
,3:00 PM,"Open Forum with Students: ""To AI or Not to AI""
Sherwin Pelayo, AAP | PCORP"
,4:30 PM,Breakout Sessions End
,4:40 PM,Day 2 Highlights
,4:55 PM,Day 2 Closing
,5:00 PM,Day 2 End
February 27,8:00 AM,Registration
,9:02 AM,Day 2 Recap
,9:13 AM,Draft AI Policy in Education
,9:55 AM,Commitment Signing to Draft AI Policy in Education
,10:01 AM,"Closing Remarks
Dr. Raul F. Muyong, CHED Region 6"
,10:15 AM,Company/HEI Tours
,12:15 PM,Lunch + Exhibitors' Videos
,1:30 PM,CHED RAISE End
